,ComunaOrigen,ComunaDestino,tramo_dist,vehiculo_paciente,day_period,rango_edad,genero,peso,pesoSabado,pesoDomingo
0,Buin,Buin,"(0.915, 2.192]",Automóvil/Camioneta,afternoon_peak,40,M,0.0,0.0,0.0
1,Buin,Buin,"(0.915, 2.192]",Automóvil/Camioneta,morning_peak,35,M,0.00010300299578331221,0.0,0.0
2,Buin,Buin,"(0.915, 2.192]",Automóvil/Camioneta,morning_peak,45,M,7.025241147187066e-05,0.0,0.0
3,Buin,Buin,"(0.915, 2.192]",Automóvil/Camioneta,morning_peak,55,M,3.51174409331478e-05,0.0,0.0
4,Buin,Buin,"(0.915, 2.192]",Automóvil/Camioneta,valley,40,M,0.0,0.0,0.0
5,Buin,Buin,"(0.915, 2.192]",Automóvil/Camioneta,valley,55,M,6.91260522615717e-05,0.0,0.0
6,Buin,Buin,"(0.915, 2.192]",Bicicleta/Scooter,morning_peak,55,F,6.298924753623485e-05,0.0,0.0
7,Buin,Buin,"(0.915, 2.192]",Bicicleta/Scooter,morning_peak,55,M,5.440423084509815e-05,0.0,0.0
8,Buin,Buin,"(0.915, 2.192]",Motocicleta,lunch,30,M,0.0,0.0,0.0
9,Buin,Buin,"(0.915, 2.192]",Motocicleta,morning_peak,50,M,0.0,0.0,0.0
10,Buin,Buin,"(0.915, 2.192]",Motocicleta,night,50,F,1.8107795782637287e-05,0.0,0.0
11,Buin,Buin,"(0.915, 2.192]",N/A,morning_peak,35,M,0.0001041573015761498,0.0,0.0
12,Buin,Buin,"(0.915, 2.192]",N/A,night,50,M,0.0004092100060967577,0.0,0.0
13,Buin,Buin,"(0.915, 2.192]",N/A,valley,50,M,0.0,0.0,0.0
14,Buin,Buin,"(0.915, 2.192]",Taxi/Colectivo,lunch,25,M,1.4065656963869842e-05,0.0,0.0
15,Buin,Buin,"(0.915, 2.192]",Taxi/Colectivo,morning_peak,20,F,3.876814577074412e-05,0.0,0.0
16,Buin,Buin,"(0.915, 2.192]",Taxi/Colectivo,morning_peak,25,F,1.3423363556708537e-05,0.0,0.0
17,Buin,Buin,"(0.915, 2.192]",Taxi/Colectivo,morning_peak,30,M,9.117174298239838e-05,0.0,0.0
18,Buin,Buin,"(0.915, 2.192]",Taxi/Colectivo,morning_peak,40,M,2.1202076747957322e-05,0.0,0.0
19,Buin,Buin,"(0.915, 2.192]",Taxi/Colectivo,morning_peak,50,F,0.00011135464608281261,0.0,0.0
20,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,morning_peak,35,M,5.814678030547003e-05,0.0,0.0
21,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,morning_peak,50,F,0.0,0.00024928477812390765,0.0
22,Buin,Buin,"(2.192, 3.354]",Automóvil/Camioneta,valley,40,M,0.0,0.0,0.0022031842394118983
23,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,morning_peak,15,M,2.946212024002211e-05,0.0,0.0
24,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,morning_peak,30,M,0.0003912359631364121,0.0,0.0
25,Buin,Buin,"(2.192, 3.354]",Bicicleta/Scooter,morning_peak,35,M,1.3637481219094504e-05,0.0,0.0
26,Buin,Buin,"(2.192, 3.354]",Motocicleta,afternoon_peak,60,F,2.0456124031883368e-05,0.0,0.0
27,Buin,Buin,"(2.192, 3.354]",Motocicleta,lunch,25,F,8.921635167547748e-05,0.0,0.0
28,Buin,Buin,"(2.192, 3.354]",Motocicleta,morning_peak,50,M,9.490331189983731e-06,0.0,0.0
29,Buin,Buin,"(2.192, 3.354]",Motocicleta,morning_peak,55,F,2.9577671417669226e-05,0.0,0.0
30,Buin,Buin,"(2.192, 3.354]",Motocicleta,morning_peak,55,M,8.727586226351834e-05,0.0,0.0
31,Buin,Buin,"(2.192, 3.354]",N/A,morning_peak,30,M,0.0,0.001256238251962999,0.0
32,Buin,Buin,"(2.192, 3.354]",Taxi/Colectivo,lunch,20,F,2.727232650618004e-05,0.0,0.0
33,Buin,Buin,"(2.192, 3.354]",Taxi/Colectivo,morning_peak,20,F,0.0,0.0,0.0
34,Buin,Buin,"(2.192, 3.354]",Taxi/Colectivo,morning_peak,20,M,2.49450499536732e-05,0.0,0.0
35,Buin,Buin,"(2.192, 3.354]",Taxi/Colectivo,morning_peak,25,F,4.832767814993907e-05,0.0,0.0
36,Buin,Buin,"(2.192, 3.354]",Taxi/Colectivo,morning_peak,40,M,4.2493765330426306e-05,0.0,0.0
37,Buin,Buin,"(2.192, 3.354]",Taxi/Colectivo,morning_peak,45,F,1.4065656963869842e-05,0.0,0.0
38,Buin,Buin,"(2.192, 3.354]",Taxi/Colectivo,morning_peak,45,M,1.88028980829004e-05,0.0,0.0
39,Buin,Buin,"(2.192, 3.354]",Taxi/Colectivo,morning_peak,50,F,3.4371167502161094e-05,0.0,0.0
40,Buin,Buin,"(2.192, 3.354]",Taxi/Colectivo,morning_peak,55,F,0.0,0.0008518865646124089,0.0
41,Buin,Buin,"(2.192, 3.354]",Taxi/Colectivo,morning_peak,65,F,1.7817671545137484e-05,0.0,0.0
42,Buin,Buin,"(2.192, 3.354]",Taxi/Colectivo,night,20,F,3.77332582560277e-05,0.0,0.0
43,Buin,Buin,"(3.354, 4.089]",Automóvil/Camioneta,morning_peak,25,M,1.5572180033536055e-05,0.0,0.0
44,Buin,Buin,"(3.354, 4.089]",Automóvil/Camioneta,morning_peak,70,M,3.2839284637451984e-05,0.0,0.0
45,Buin,Buin,"(3.354, 4.089]",Bicicleta/Scooter,morning_peak,30,M,9.364148994985054e-05,0.0,0.0
46,Buin,Buin,"(3.354, 4.089]",Bicicleta/Scooter,night,55,M,7.490749177052569e-05,0.0,0.0
47,Buin,Buin,"(3.354, 4.089]",Motocicleta,morning_peak,50,M,0.0,0.001098225616197972,0.0
48,Buin,Buin,"(3.354, 4.089]",Taxi/Colectivo,morning_peak,20,F,0.00014522684719257478,0.0,0.0
49,Buin,Buin,"(3.354, 4.089]",Taxi/Colectivo,morning_peak,25,F,0.00015309578019434797,0.0,0.0
50,Buin,Buin,"(3.354, 4.089]",Taxi/Colectivo,morning_peak,45,M,0.0,0.00696852417926865,0.0
51,Buin,Buin,"(3.354, 4.089]",Taxi/Colectivo,valley,60,F,0.00016282539958468195,0.0,0.0
52,Buin,Buin,"(4.089, 5.191]",Automóvil/Camioneta,morning_peak,20,F,0.00022311916870217403,0.0,0.0
53,Buin,Buin,"(4.089, 5.191]",Automóvil/Camioneta,valley,50,F,0.0007005586213723767,0.0,0.0
54,Buin,Buin,"(4.089, 5.191]",Bicicleta/Scooter,morning_peak,35,M,1.677838583251415e-05,0.0,0.0
55,Buin,Buin,"(4.089, 5.191]",Motocicleta,lunch,45,M,7.232772830650698e-05,0.0,0.0
56,Buin,Buin,"(4.089, 5.191]",Motocicleta,morning_peak,15,M,0.0,0.0,0.0
57,Buin,Buin,"(4.089, 5.191]",Motocicleta,morning_peak,25,F,7.200740337802044e-06,0.0,0.0
58,Buin,Buin,"(4.089, 5.191]",Motocicleta,morning_peak,45,F,1.887682671494683e-05,0.0,0.0
59,Buin,Buin,"(4.089, 5.191]",Motocicleta,morning_peak,45,M,7.232772830650698e-05,0.0,0.0
60,Buin,Buin,"(4.089, 5.191]",Motocicleta,morning_peak,50,F,0.0,0.0,0.0
61,Buin,Buin,"(4.089, 5.191]",Taxi/Colectivo,morning_peak,20,M,2.1592823410083772e-05,0.0,0.0
62,Buin,Buin,"(4.089, 5.191]",Taxi/Colectivo,morning_peak,25,F,0.00014522684719257478,0.0,0.0
63,Buin,Buin,"(4.089, 5.191]",Taxi/Colectivo,morning_peak,30,M,5.744966407566262e-05,0.0,0.0
64,Buin,Buin,"(4.089, 5.191]",Taxi/Colectivo,morning_peak,35,M,1.677838583251415e-05,0.0,0.0
65,Buin,Buin,"(4.089, 5.191]",Taxi/Colectivo,morning_peak,50,F,2.104241363002192e-05,0.0,0.0
66,Buin,Buin,"(4.089, 5.191]",Taxi/Colectivo,valley,50,F,0.0007005586213723767,0.0,0.0
67,Buin,Buin,"(5.191, 6.333]",Automóvil/Camioneta,morning_peak,10,F,0.0,0.0,0.0
68,Buin,Buin,"(5.191, 6.333]",Motocicleta,morning_peak,20,F,9.490331189983731e-06,0.0,0.0
69,Buin,Buin,"(5.191, 6.333]",Motocicleta,morning_peak,20,M,9.490331189983731e-06,0.0,0.0
70,Buin,Buin,"(5.191, 6.333]",Motocicleta,morning_peak,55,M,6.426946800728748e-05,0.0,0.0
71,Buin,Buin,"(5.191, 6.333]",Motocicleta,night,20,M,7.190922173675713e-06,0.0,0.0
72,Buin,Buin,"(6.333, 7.516]",Motocicleta,morning_peak,40,M,0.00011567509032688882,0.0,0.0
73,Buin,Buin,"(6.333, 7.516]",Motocicleta,morning_peak,45,M,6.05515979338635e-05,0.0,0.0
74,Buin,Buin,"(6.333, 7.516]",Taxi/Colectivo,morning_peak,50,M,0.00012973217159413503,0.0,0.0
75,Buin,Buin,"(7.516, 9.335]",Motocicleta,lunch,35,M,0.00015333088855064357,0.0,0.0
76,Buin,Buin,"(7.516, 9.335]",Motocicleta,morning_peak,25,M,0.0,0.0002050593142744651,0.0
77,Buin,Buin,"(7.516, 9.335]",Motocicleta,morning_peak,35,M,0.00015333088855064357,0.0,0.0
78,Buin,Buin,"(7.516, 9.335]",Motocicleta,morning_peak,60,M,2.4349113994353487e-05,0.0,0.0
79,Buin,Buin,"(7.516, 9.335]",Taxi/Colectivo,morning_peak,15,F,4.756903897911095e-05,0.0,0.0
80,Buin,Buin,"(9.335, 10.203]",Taxi/Colectivo,morning_peak,20,M,5.1431706863938696e-05,0.0,0.0
81,Buin,Buin,"(11.147, 11.849]",Bicicleta/Scooter,morning_peak,40,F,0.0003065831065153431,0.0,0.0
82,Buin,El Bosque,"(21.298, 23.366]",Motocicleta,morning_peak,45,F,5.44772512882804e-05,0.0,0.0
83,Buin,Estación Central,"(29.941, 74.541]",Motocicleta,morning_peak,25,F,1.192211801936933e-05,0.0,0.0
84,Buin,Isla de Maipo,"(14.993, 16.481]",Automóvil/Camioneta,morning_peak,35,M,3.156998423339508e-05,0.0,0.0
85,Buin,La Cisterna,"(25.607, 29.941]",Automóvil/Camioneta,morning_peak,45,F,7.841084001923751e-05,0.0,0.0
86,Buin,La Pintana,"(17.424, 19.306]",Automóvil/Camioneta,morning_peak,20,M,2.201751599937556e-05,0.0,0.0
87,Buin,La Pintana,"(17.424, 19.306]",Automóvil/Camioneta,morning_peak,40,M,3.346544580805099e-05,0.0,0.0
88,Buin,Las Condes,"(29.941, 74.541]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,35,F,0.0,0.0,0.0
89,Buin,Las Condes,"(29.941, 74.541]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,50,F,0.0,0.0003929588532958369,0.0
90,Buin,Padre Hurtado,"(21.298, 23.366]",Automóvil/Camioneta,morning_peak,35,M,5.156709106195492e-05,0.0,0.0
91,Buin,Providencia,"(29.941, 74.541]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,20,F,6.368612742074086e-05,0.0,0.0
92,Buin,Providencia,"(29.941, 74.541]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,25,M,2.0495784116676895e-05,0.0,0.0
93,Buin,Providencia,"(29.941, 74.541]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,50,M,5.915738059069511e-05,0.0,0.0
94,Buin,San Bernardo,"(11.147, 11.849]",Bicicleta/Scooter,morning_peak,45,M,0.0,0.0,0.0
95,Buin,San Bernardo,"(13.364, 14.993]",Motocicleta,lunch,20,F,3.389179617114723e-05,0.0,0.0
96,Buin,San Bernardo,"(19.306, 21.298]",Motocicleta,morning_peak,25,F,3.389179617114723e-05,0.0,0.0
97,Buin,San Bernardo,"(21.298, 23.366]",Automóvil/Camioneta,morning_peak,50,M,1.4891891170287408e-05,0.0,0.0
98,Buin,San Miguel,"(25.607, 29.941]",Automóvil/Camioneta,morning_peak,25,M,1.0657693870110472e-05,0.0,0.0
99,Buin,San Miguel,"(29.941, 74.541]",Automóvil/Camioneta,morning_peak,50,F,0.0004980986824421644,0.0,0.0
100,Buin,San Miguel,"(29.941, 74.541]",Motocicleta,morning_peak,55,M,0.000230835961631526,0.0,0.0
101,Buin,Santiago,"(29.941, 74.541]",Automóvil/Camioneta,morning_peak,45,M,0.0,0.0,0.0
102,Buin,Santiago,"(29.941, 74.541]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,25,M,1.9842857059769025e-05,0.0,0.0
103,Buin,Santiago,"(29.941, 74.541]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,45,F,2.073594046563249e-05,0.0,0.0
104,Buin,Santiago,"(29.941, 74.541]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,55,M,1.3480334334302385e-05,0.0,0.0
105,Buin,Santiago,"(29.941, 74.541]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,valley,25,M,3.4659123724878624e-05,0.0,0.0
106,Buin,Santiago,"(29.941, 74.541]",Motocicleta,morning_peak,20,M,0.00043679781788734146,0.0,0.0
107,Buin,Santiago,"(29.941, 74.541]",Motocicleta,morning_peak,25,M,0.0,0.0,0.0
108,Buin,Santiago,"(29.941, 74.541]",Motocicleta,morning_peak,35,M,0.0006095548188406629,0.0,0.0
109,Buin,Santiago,"(29.941, 74.541]",Motocicleta,morning_peak,40,M,3.0747439130777045e-05,0.0,0.0
110,Buin,Santiago,"(29.941, 74.541]",Motocicleta,morning_peak,45,M,3.027579896693175e-05,0.0,0.0
111,Buin,Santiago,"(29.941, 74.541]",Motocicleta,morning_peak,50,F,5.44772512882804e-05,0.0,0.0
112,Buin,Santiago,"(29.941, 74.541]",Motocicleta,morning_peak,50,M,0.0,0.0,0.0
113,Buin,Santiago,"(29.941, 74.541]",Taxi/Colectivo,morning_peak,40,M,8.770728981150747e-05,0.0,0.0
114,Buin,Santiago,"(29.941, 74.541]",Taxi/Colectivo,morning_peak,45,M,1.633109740120039e-05,0.0,0.0
115,Calera de Tango,Buin,"(13.364, 14.993]",Motocicleta,night,20,M,9.799875389233516e-06,0.0,0.0
116,Calera de Tango,Calera de Tango,"(0.915, 2.192]",Automóvil/Camioneta,valley,30,M,0.0,5.340839699439476e-05,0.0
117,Calera de Tango,Calera de Tango,"(0.915, 2.192]",Bicicleta/Scooter,lunch,55,M,2.344988644374904e-05,0.0,0.0
118,Calera de Tango,Calera de Tango,"(0.915, 2.192]",Bicicleta/Scooter,morning_peak,55,M,1.8098498031951395e-05,0.0,0.0
119,Calera de Tango,Calera de Tango,"(0.915, 2.192]",Motocicleta,morning_peak,20,F,2.103914553420189e-05,0.0,0.0
120,Calera de Tango,Calera de Tango,"(0.915, 2.192]",Motocicleta,morning_peak,25,M,4.996210945922014e-06,0.0,0.0
121,Calera de Tango,Calera de Tango,"(0.915, 2.192]",N/A,morning_peak,70,F,0.0,0.0,0.0
122,Calera de Tango,Calera de Tango,"(2.192, 3.354]",Automóvil/Camioneta,lunch,35,M,9.098818339289929e-06,0.0,0.0
123,Calera de Tango,Calera de Tango,"(2.192, 3.354]",Automóvil/Camioneta,morning_peak,35,M,6.403556856536508e-06,0.0,0.0
124,Calera de Tango,Calera de Tango,"(2.192, 3.354]",Automóvil/Camioneta,morning_peak,50,F,3.5013819921036776e-06,0.0,0.0
125,Calera de Tango,Calera de Tango,"(2.192, 3.354]",Automóvil/Camioneta,morning_peak,55,M,3.1757601807003503e-05,0.0,0.0
126,Calera de Tango,Calera de Tango,"(2.192, 3.354]",Motocicleta,morning_peak,25,M,9.807341546437851e-06,0.0,0.0
127,Calera de Tango,Calera de Tango,"(2.192, 3.354]",Motocicleta,morning_peak,30,F,2.9067963896239486e-05,0.0,0.0
128,Calera de Tango,Calera de Tango,"(2.192, 3.354]",Motocicleta,morning_peak,45,F,8.124417817765554e-05,0.0,0.0
129,Calera de Tango,Calera de Tango,"(2.192, 3.354]",Motocicleta,morning_peak,45,M,8.353592015360574e-05,0.0,0.0
130,Calera de Tango,Calera de Tango,"(2.192, 3.354]",Motocicleta,morning_peak,50,F,1.5861357142862507e-05,0.0,0.0
131,Calera de Tango,Calera de Tango,"(2.192, 3.354]",Motocicleta,night,25,F,4.892099066565343e-06,0.0,0.0
132,Calera de Tango,Calera de Tango,"(2.192, 3.354]",Motocicleta,valley,15,F,6.067453842379322e-05,0.0,0.0
133,Calera de Tango,Calera de Tango,"(2.192, 3.354]",Taxi/Colectivo,valley,45,F,5.322967393607751e-05,0.0,0.0
134,Calera de Tango,Calera de Tango,"(3.354, 4.089]",Motocicleta,morning_peak,30,F,2.3404059198807157e-06,0.0,0.0
135,Calera de Tango,Calera de Tango,"(3.354, 4.089]",Motocicleta,morning_peak,35,M,0.0,0.0,0.000633337854126644
136,Calera de Tango,Calera de Tango,"(3.354, 4.089]",Motocicleta,morning_peak,50,M,1.0877521436207995e-05,0.0,0.0
137,Calera de Tango,Calera de Tango,"(4.089, 5.191]",Automóvil/Camioneta,morning_peak,25,F,7.762065416001281e-05,0.0,0.0
138,Calera de Tango,Calera de Tango,"(4.089, 5.191]",Motocicleta,morning_peak,25,M,9.54004140033862e-06,0.0,0.0
139,Calera de Tango,Calera de Tango,"(5.191, 6.333]",Bicicleta/Scooter,lunch,75,M,0.0,5.213676849452822e-05,0.0
140,Calera de Tango,Calera de Tango,"(5.191, 6.333]",Bicicleta/Scooter,morning_peak,65,M,0.0,0.0,0.0
141,Calera de Tango,Calera de Tango,"(5.191, 6.333]",Bicicleta/Scooter,morning_peak,75,M,0.0,4.0238881508189824e-05,0.0
142,Calera de Tango,Calera de Tango,"(5.191, 6.333]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,valley,20,F,5.49590779020334e-06,0.0,0.0
143,Calera de Tango,Calera de Tango,"(5.191, 6.333]",Motocicleta,lunch,30,M,9.807341546437851e-06,0.0,0.0
144,Calera de Tango,Calera de Tango,"(5.191, 6.333]",N/A,afternoon_peak,50,M,0.0,0.0,0.0
145,Calera de Tango,Calera de Tango,"(5.191, 6.333]",Taxi/Colectivo,morning_peak,40,F,8.064280003166593e-05,0.0,0.0
146,Calera de Tango,Calera de Tango,"(5.191, 6.333]",Taxi/Colectivo,morning_peak,50,F,2.5747530418398307e-05,0.0,0.0
147,Calera de Tango,Calera de Tango,"(6.333, 7.516]",Automóvil/Camioneta,morning_peak,30,M,0.0,0.0,0.0
148,Calera de Tango,Calera de Tango,"(6.333, 7.516]",Automóvil/Camioneta,morning_peak,40,F,1.5207015705610361e-05,0.0,0.0
149,Calera de Tango,Calera de Tango,"(6.333, 7.516]",Bicicleta/Scooter,morning_peak,45,M,9.29236282567921e-05,0.0,0.0
150,Calera de Tango,Calera de Tango,"(6.333, 7.516]",Bicicleta/Scooter,morning_peak,55,M,0.0,0.0,0.0
151,Calera de Tango,Cerrillos,"(16.481, 17.424]",Motocicleta,morning_peak,65,M,1.3159826089010339e-05,0.0,0.0
152,Calera de Tango,Cerrillos,"(17.424, 19.306]",Automóvil/Camioneta,morning_peak,55,M,6.710214754075534e-06,0.0,0.0
153,Calera de Tango,Cerrillos,"(23.366, 25.607]",Motocicleta,morning_peak,30,M,0.0,0.0007687579313385804,0.0
154,Calera de Tango,Colina,"(29.941, 74.541]",Automóvil/Camioneta,morning_peak,45,M,0.0,0.0,0.0
155,Calera de Tango,Estación Central,"(25.607, 29.941]",Motocicleta,morning_peak,60,F,0.0,3.517753926884129e-05,0.0
156,Calera de Tango,Estación Central,"(25.607, 29.941]",Motocicleta,valley,25,F,0.0,0.0003474854488751396,0.0
157,Calera de Tango,Isla de Maipo,"(25.607, 29.941]",Motocicleta,afternoon_peak,20,M,0.0,0.0005242311339820007,0.0
158,Calera de Tango,La Cisterna,"(17.424, 19.306]",Automóvil/Camioneta,morning_peak,25,F,1.1447198753723648e-05,0.0,0.0
159,Calera de Tango,La Cisterna,"(17.424, 19.306]",Automóvil/Camioneta,morning_peak,25,M,1.1280770312631228e-05,0.0,0.0
160,Calera de Tango,La Cisterna,"(19.306, 21.298]",Automóvil/Camioneta,morning_peak,40,M,7.052323575055973e-05,0.0,0.0
161,Calera de Tango,La Florida,"(21.298, 23.366]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,20,M,4.204283519181457e-05,0.0,0.0
162,Calera de Tango,La Pintana,"(14.993, 16.481]",Automóvil/Camioneta,morning_peak,35,M,5.709687447637762e-06,0.0,0.0
163,Calera de Tango,La Pintana,"(16.481, 17.424]",Automóvil/Camioneta,morning_peak,40,M,0.0,0.0,0.0
164,Calera de Tango,Las Condes,"(29.941, 74.541]",Automóvil/Camioneta,morning_peak,60,F,7.813825149133162e-06,0.0,0.0
165,Calera de Tango,Las Condes,"(29.941, 74.541]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,50,F,1.2619576446859548e-05,0.0,0.0
166,Calera de Tango,Lo Espejo,"(16.481, 17.424]",Bicicleta/Scooter,afternoon_peak,50,M,4.152188118587965e-06,0.0,0.0
167,Calera de Tango,Lo Espejo,"(23.366, 25.607]",Automóvil/Camioneta,morning_peak,55,M,0.0,0.0,0.0
168,Calera de Tango,Macul,"(25.607, 29.941]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,50,M,1.588365295662689e-05,0.0,0.0
169,Calera de Tango,Macul,"(29.941, 74.541]",Automóvil/Camioneta,morning_peak,30,M,2.689026614683814e-06,0.0,0.0
170,Calera de Tango,Macul,"(29.941, 74.541]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,40,M,0.0,0.00044443817905511683,0.0
171,Calera de Tango,Maipú,"(6.333, 7.516]",Automóvil/Camioneta,morning_peak,25,M,7.983020942549162e-05,0.0,0.0
172,Calera de Tango,Maipú,"(7.516, 9.335]",Automóvil/Camioneta,morning_peak,25,M,9.37667050105557e-06,0.0,0.0
173,Calera de Tango,Maipú,"(7.516, 9.335]",Motocicleta,morning_peak,30,F,4.553372404206903e-05,0.0,0.0
174,Calera de Tango,Maipú,"(10.203, 11.147]",Automóvil/Camioneta,night,30,M,3.5636881360428967e-06,0.0,0.0
175,Calera de Tango,Maipú,"(13.364, 14.993]",Automóvil/Camioneta,morning_peak,70,M,1.979420186476606e-06,0.0,0.0
176,Calera de Tango,Maipú,"(19.306, 21.298]",Automóvil/Camioneta,morning_peak,25,F,0.0,0.0,0.0
177,Calera de Tango,Maipú,"(19.306, 21.298]",Automóvil/Camioneta,morning_peak,35,M,0.0,0.0,0.0
178,Calera de Tango,Padre Hurtado,"(6.333, 7.516]",Automóvil/Camioneta,morning_peak,25,M,4.963276911305827e-05,0.0,0.0
179,Calera de Tango,Pedro Aguirre Cerda,"(21.298, 23.366]",Automóvil/Camioneta,morning_peak,50,M,9.361195401624644e-06,0.0,0.0
180,Calera de Tango,Pedro Aguirre Cerda,"(23.366, 25.607]",Automóvil/Camioneta,morning_peak,20,M,0.0,4.122031764253591e-05,0.0
181,Calera de Tango,Pedro Aguirre Cerda,"(23.366, 25.607]",Automóvil/Camioneta,night,20,M,1.4524433631895764e-05,0.0,0.0
182,Calera de Tango,Peñaflor,"(7.516, 9.335]",Motocicleta,morning_peak,35,M,0.0,0.0,0.0
183,Calera de Tango,Peñaflor,"(7.516, 9.335]",Motocicleta,morning_peak,60,M,0.0,0.0,0.0
184,Calera de Tango,Peñaflor,"(11.147, 11.849]",Motocicleta,morning_peak,45,M,5.696665391712346e-06,0.0,0.0
185,Calera de Tango,Peñaflor,"(13.364, 14.993]",Motocicleta,valley,30,F,0.0,0.0,0.00041477761052291994
186,Calera de Tango,Providencia,"(29.941, 74.541]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,15,F,0.0,0.0,0.0
187,Calera de Tango,Providencia,"(29.941, 74.541]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,35,F,3.3243786382576866e-06,0.0,0.0
188,Calera de Tango,Pudahuel,"(23.366, 25.607]",Motocicleta,morning_peak,45,M,0.0,0.0,0.0
189,Calera de Tango,Pudahuel,"(25.607, 29.941]",Motocicleta,morning_peak,20,M,0.0,0.0,0.0
190,Calera de Tango,Quilicura,"(29.941, 74.541]",Microbus/Bus/Furgón/Tren/Metro/Metrotren,morning_peak,35,F,1.0283806132309771e-05,0.0,0.0
191,Calera de Tango,San Bernardo,"(3.354, 4.089]",Automóvil/Camioneta,lunch,55,M,4.867859003682941e-05,0.0,0.0
192,Calera de Tango,San Bernardo,"(3.354, 4.089]",Bicicleta/Scooter,morning_peak,50,M,3.065175695734946e-05,0.0,0.0
193,Calera de Tango,San Bernardo,"(4.089, 5.191]",Motocicleta,morning_peak,45,F,2.3063771506943552e-06,0.0,0.0
194,Calera de Tango,San Bernardo,"(5.191, 6.333]",Bicicleta/Scooter,morning_peak,15,M,0.0,0.0,0.0
195,Calera de Tango,San Bernardo,"(5.191, 6.333]",Motocicleta,morning_peak,45,M,0.0,0.0,0.0
196,Calera de Tango,San Bernardo,"(6.333, 7.516]",Automóvil/Camioneta,morning_peak,55,M,9.361195401624644e-06,0.0,0.0
197,Calera de Tango,San Bernardo,"(7.516, 9.335]",Motocicleta,morning_peak,40,M,2.763110110525161e-06,0.0,0.0
198,Calera de Tango,San Bernardo,"(9.335, 10.203]",Automóvil/Camioneta,lunch,70,F,1.64526924861477e-05,0.0,0.0
199,Calera de Tango,San Bernardo,"(9.335, 10.203]",Automóvil/Camioneta,morning_peak,20,M,9.596368894330538e-06,0.0,0.0
200,Calera de Tango,San Bernardo,"(9.335, 10.203]",Automóvil/Camioneta,morning_peak,70,F,1.671660503299801e-05,0.0,0.0
201,Calera de Tango,San Bernardo,"(9.335, 10.203]",Motocicleta,lunch,45,M,0.0,0.00044443817905511683,0.0
202,Calera de Tango,San Bernardo,"(9.335, 10.203]",Motocicleta,morning_peak,20,F,4.472742928478897e-06,0.0,0.0
203,Calera de Tango,San Bernardo,"(9.335, 10.203]",Motocicleta,morning_peak,25,F,4.472742928478897e-06,0.0,0.0
204,Calera de Tango,San Bernardo,"(9.335, 10.203]",Motocicleta,morning_peak,40,F,2.3729657310072543e-06,0.0,0.0
205,Calera de Tango,San Bernardo,"(9.335, 10.203]",Motocicleta,valley,20,F,2.363197787669293e-06,0.0,0.0
206,Calera de Tango,San Bernardo,"(10.203, 11.147]",Motocicleta,morning_peak,50,F,5.239999392932699e-06,0.0,0.0
207,Calera de Tango,San Bernardo,"(11.849, 13.364]",Automóvil/Camioneta,morning_peak,30,M,3.5711719284772e-06,0.0,0.0
208,Calera de Tango,San Bernardo,"(11.849, 13.364]",Motocicleta,valley,50,F,0.0,0.0003474854488751396,0.0
209,Calera de Tango,San Bernardo,"(13.364, 14.993]",Motocicleta,morning_peak,25,M,2.4141559846151746e-05,0.0,0.0
210,Calera de Tango,San Bernardo,"(14.993, 16.481]",Automóvil/Camioneta,morning_peak,45,M,4.6850986348847935e-05,0.0,0.0
211,Calera de Tango,San Bernardo,"(17.424, 19.306]",Automóvil/Camioneta,morning_peak,30,M,2.9259392553765317e-05,0.0,0.0
212,Calera de Tango,San Bernardo,"(17.424, 19.306]",Automóvil/Camioneta,morning_peak,40,M,4.6850986348847935e-05,0.0,0.0
213,Calera de Tango,San Bernardo,"(17.424, 19.306]",N/A,lunch,50,M,0.00017740026118573905,0.0,0.0
214,Calera de Tango,San Miguel,"(21.298, 23.366]",Automóvil/Camioneta,morning_peak,50,M,9.361195401624644e-06,0.0,0.0
215,Calera de Tango,San Miguel,"(23.366, 25.607]",Taxi/Colectivo,morning_peak,55,F,2.9081316618671373e-05,0.0,0.0
